time,open,high,low,close,volume
2022-11-08 17:00:00+00:00,86.83,86.88,86.65,86.83,255022
2022-11-08 18:00:00+00:00,86.78,86.85,86.65,86.73,177610
2022-11-08 19:00:00+00:00,86.73,86.75,85.7,85.98,1023884
2022-11-08 20:00:00+00:00,85.95,86.48,85.9,86.25,311526
2022-11-09 06:00:00+00:00,86.0,86.0,86.0,86.0,27564
2022-11-09 07:00:00+00:00,86.03,87.03,85.35,85.43,2077584
2022-11-09 08:00:00+00:00,85.43,85.58,84.55,85.0,1878336
2022-11-09 09:00:00+00:00,85.0,85.6,84.73,85.0,819124
2022-11-09 10:00:00+00:00,85.03,85.4,84.9,85.28,548012
2022-11-09 11:00:00+00:00,85.25,85.25,84.5,84.98,730856
2022-11-09 12:00:00+00:00,84.95,85.48,84.7,85.38,646050
2022-11-09 13:00:00+00:00,85.38,85.45,84.68,84.75,592446
2022-11-09 14:00:00+00:00,84.75,84.85,84.05,84.78,1096224
2022-11-09 15:00:00+00:00,84.78,84.9,83.23,83.35,1412392
2022-11-09 16:00:00+00:00,83.35,83.88,82.6,83.7,1174510
2022-11-09 17:00:00+00:00,83.7,83.7,82.8,83.6,689008
2022-11-09 18:00:00+00:00,83.58,83.58,83.03,83.3,316368
2022-11-09 19:00:00+00:00,83.28,83.38,82.9,82.95,294556
2022-11-09 20:00:00+00:00,83.0,83.13,82.8,82.95,191616
2022-11-10 06:00:00+00:00,83.68,83.68,83.68,83.68,43916
2022-11-10 07:00:00+00:00,83.65,84.5,83.28,83.78,2159624
2022-11-10 08:00:00+00:00,83.78,85.78,83.75,85.48,3440714
2022-11-10 09:00:00+00:00,85.48,86.8,85.38,85.48,3680614
2022-11-10 10:00:00+00:00,85.48,86.05,85.3,85.7,1212960
2022-11-10 11:00:00+00:00,85.73,85.98,85.48,85.55,844534
2022-11-10 12:00:00+00:00,85.55,85.75,84.83,85.1,1182632
2022-11-10 13:00:00+00:00,85.1,86.13,84.65,85.88,1297456
2022-11-10 14:00:00+00:00,85.83,86.5,85.83,85.93,1990524
2022-11-10 15:00:00+00:00,85.95,86.23,85.75,85.83,688352
2022-11-10 16:00:00+00:00,86.08,86.6,86.0,86.58,522034
2022-11-10 17:00:00+00:00,86.58,86.6,86.0,86.18,336586
2022-11-10 18:00:00+00:00,86.15,86.45,86.05,86.35,265498
2022-11-10 19:00:00+00:00,86.35,86.5,86.25,86.45,247574
2022-11-10 20:00:00+00:00,86.43,86.6,86.28,86.45,261592
2022-11-11 06:00:00+00:00,86.68,86.68,86.68,86.68,26164
2022-11-11 07:00:00+00:00,86.7,86.98,85.13,85.43,3070292
2022-11-11 08:00:00+00:00,85.4,86.05,85.35,85.75,844044
2022-11-11 09:00:00+00:00,85.75,86.43,85.58,85.98,909310
2022-11-11 10:00:00+00:00,86.0,86.48,85.78,86.23,687858
2022-11-11 11:00:00+00:00,86.23,86.28,85.88,86.28,293994
2022-11-11 12:00:00+00:00,86.28,86.4,86.0,86.25,371266
2022-11-11 13:00:00+00:00,86.23,86.3,85.45,85.78,1120970
2022-11-11 14:00:00+00:00,85.78,85.83,84.9,85.43,1153280
2022-11-11 15:00:00+00:00,85.43,85.73,85.3,85.73,308034
2022-11-11 16:00:00+00:00,85.83,85.83,85.43,85.6,182888
2022-11-11 17:00:00+00:00,85.55,85.65,85.5,85.53,131138
2022-11-11 18:00:00+00:00,85.55,85.7,85.5,85.7,110742
2022-11-11 19:00:00+00:00,85.7,85.75,85.53,85.75,128354
2022-11-11 20:00:00+00:00,85.75,85.85,85.6,85.8,177720
2022-11-14 06:00:00+00:00,86.13,86.13,86.13,86.13,11360
2022-11-14 07:00:00+00:00,86.03,86.35,85.35,86.03,1198420
2022-11-14 08:00:00+00:00,86.05,87.85,85.83,87.43,2966630
2022-11-14 09:00:00+00:00,87.45,88.55,87.13,88.18,2219950
2022-11-14 10:00:00+00:00,88.03,88.48,87.55,87.75,1154912
2022-11-14 11:00:00+00:00,87.7,87.85,87.35,87.38,562322
2022-11-14 12:00:00+00:00,87.38,87.88,87.3,87.73,388872
2022-11-14 13:00:00+00:00,87.68,87.93,87.28,87.35,692334
2022-11-14 14:00:00+00:00,87.35,87.53,87.05,87.48,596958
2022-11-14 15:00:00+00:00,87.45,87.6,87.1,87.38,497378
2022-11-14 16:00:00+00:00,87.5,87.68,87.33,87.55,182470
2022-11-14 17:00:00+00:00,87.53,87.63,87.35,87.4,161772
2022-11-14 18:00:00+00:00,87.43,87.58,87.38,87.55,178904
2022-11-14 19:00:00+00:00,87.58,87.58,87.25,87.35,154478
2022-11-14 20:00:00+00:00,87.33,87.35,87.0,87.13,234596
2022-11-15 06:00:00+00:00,87.3,87.3,87.3,87.3,5060
2022-11-15 07:00:00+00:00,87.33,88.28,86.55,87.88,2168820
2022-11-15 08:00:00+00:00,87.93,88.0,85.8,85.93,2435530
2022-11-15 09:00:00+00:00,85.93,86.48,85.58,86.38,1154170
2022-11-15 10:00:00+00:00,86.38,86.85,85.73,85.9,717726
2022-11-15 11:00:00+00:00,85.88,86.1,85.53,86.1,676850
2022-11-15 12:00:00+00:00,86.1,86.23,85.7,85.88,395182
2022-11-15 13:00:00+00:00,85.88,86.4,85.63,86.25,435172
2022-11-15 14:00:00+00:00,86.28,86.33,85.88,86.05,251006
2022-11-15 15:00:00+00:00,86.05,86.1,85.85,86.0,200962
2022-11-15 16:00:00+00:00,86.2,86.2,85.73,85.9,143086
2022-11-15 17:00:00+00:00,85.95,86.0,85.58,85.7,189950
